"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Multicellular complex forming ability"
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,"Actinomadura keratinilytica",0
16929,"SSC 1256, 13-363","DSM 43764, ATCC 31588, CCRC 13146, IFO 14229, IMET 9741, JCM 3306, KCTC 9129, NBRC 14229, NCIMB 13755, NRRL 12069, NRRL B-16121, VKM Ac-874, BCRC 13416, CGMCC 4.2099, IMSNU 20006, MTCC 707, NRRL B-16261, BCRC 13146, IFO (now NBRC) 14229, SCC 1256",1,"Actinomadura kijaniata",0
,,,,,1
167434,,"LMG 31258, NRRL B-65521, DSM 109019",1,"Actinomadura lepetitiana",0
,,,,,1
16930,,"DSM 43677, ATCC 33578, INA 1678, JCM 3387, CPCC 203281, IFO 14682, IMET 9575, IMSNU 20008, IMSNU 22191, MTCC 1382, NBRC 14682, VKM Ac-908",1,"Actinomadura livida",0
159574,NEAU-G17,"DSM 105122, CGMCC 4.7411",1,"Actinomadura logoneensis",0
,,,,,1
16931,,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,"Actinomadura luteofluorescens",0
,,,,,1
16932,"FD 25934","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,"Actinomadura macra",0
,,,,,1
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,"Actinomadura madurae",0
,,,,,1
16989,A288,"DSM 44715, NRRL B-24247, JCM 13237",1,"Actinomadura meyerae",0
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,"Actinomadura montaniterrae",1
16986,"FH-A 1198, ID 90-506","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,"Actinomadura namibiensis",0
,,,,,1
16990,B60,"DSM 44846, JCM 13850, NRRL B-24319, NBRC 104150",1,"Actinomadura napierensis",0
,,,,,1
16976,,"DSM 44137, IFO 15918, JCM 10104, NBRC 15918, BCRC 16816, IMSNU 21254, NCIMB 13456",1,"Actinomadura nitritigenes",0
,,,,,1
16973,,"DSM 43928, NRRL B-16216",0,"Actinomadura oligospora",0
,,,,,1
158374,SDA37,"DSM 108648, KCTC 39965, NBRC 112909, TISTR 2523",1,"Actinomadura rhizosphaerae",1
16969,,"DSM 43936, ATCC 33264, IFO 14183, JCM 3309, KCTC 9248, NBRC 14183, NCIMB 12768, NRRL B-16122, VKM Ac-1085, INA 1349, KCC A-0309, MTCC 3035, PCM 2339",1,"Actinomadura rifamycini",1
16991,"HMC 1","DSM 44962, JCM 14907, NRRL B-24458",1,"Actinomadura rudentiformis",0
16975,,"DSM 44130, IFO 14382, JCM 3366, NBRC 14382, NRRL B-16566, ATCC 51643, BCRC 13608, CIP 105482, IMSNU 22195, KCTC 9494, MTCC 1140, NCIMB 14345",1,"Actinomadura rugatobispora",0
,,,,,1
16963,"A-184, A4","DSM 43358, ATCC 27299, DSM 43550, KCC A-0147, JCM 3147, BCRC 13408, CBS 258.72, CCM 3492, CGMCC 4.1512, CGMCC 4.2116, CIP 105480, IFO 14100, IMET 9588, IMSNU 20017, MTCC 1397, NBRC 14100, NCIMB 11119, NRRL B-16129, RIA 1503, VKM Ac-668",1,"Actinomadura verrucosospora",0
,,,,,1
16967,,"DSM 43765, ATCC 33581, IFO 14688, IMET 9574, IMET 9673, INA 1682, JCM 3325, KCC A-0325, NBRC 14688, CIP 105481, IMSNU 20018, KCTC 9344",1,"Actinomadura vinacea",0
,,,,,1
16968,,"DSM 44433, IFO 14480, IMET 9742, INMI 187, JCM 3398, JCM 7346, ATCC 33925, BCRC 13638, KCTC 9185, NBRC 100039, NBRC 14480",1,"Actinomadura viridilutea",0
,,,,,1
16970,2991,"DSM 43750, ATCC 49883, IFO 15178, IMET 9705, JCM 7345, NBRC 15178, BCRC 16817, CIP 105486, IFO 15275, IMSNU 22192, INMI 2991, KCTC 9493, NBRC 15275, VKM Ac-1470",0,"Actinomadura viridilutea",0
,,,,,1
16945,Mt-1,"DSM 43175, ATCC 27103, CBS 833.70, IMET 9546, JCM 3112, KCC A-0112, BCRC 13398, CIP 105478, IFO 15238, IMSNU 20019, KCTC 9290, NBRC 15238, VKM Ac-1315",1,"Actinomadura viridis",0
,,,,,1
24654,BK147,"DSM 46742, KACC 20919, NCIMB 14771, NRRL B-24852, JCM 32746, NBRC 109779",1,"Actinomadura xylanilytica",0
,,,,,1
13499,,"DSM 45062, JCM 15998, NBRC 104400, YIM 0006, CCTCC AA 205017, TBRC 8064",1,"Actinomycetospora chiangmaiensis",0
13500,TT04-21,"DSM 45769, KACC 14256, NBRC 103694, JCM 17978",1,"Actinomycetospora chibensis",0
,,,,,1
13502,IY07-53,"DSM 45771, KACC 14250, NBRC 105527, JCM 17980",1,"Actinomycetospora cinnamomea",0
,,,,,1
13503,014-5,"DSM 45772, KACC 14253, NBRC 103689, JCM 17981, TBRC 8065",1,"Actinomycetospora corticicola",0
159747,"A-T 8314","TBRC 5722, NBRC 113235",1,"Actinomycetospora endophytica",1
13504,TT00-04,"DSM 45773, KACC 14254, NBRC 103690, JCM 17982, BCC 49506, TBRC 2215",1,"Actinomycetospora lutea",0
,,,,,1
13505,IY07-55,"DSM 45774, KACC 14251, NBRC 105528, JCM 17983",1,"Actinomycetospora straminea",0
13506,TT00-49,"DSM 45775, KACC 14255, NBRC 103691, JCM 17984",1,"Actinomycetospora succinea",0
,,,,,1
159716,,"KCTC 49002, CGMCC 4.7433, BMP B8152, JCM 33402",1,"Actinophytocola glycyrrhizae",1
13514,"ID 05-A0653","DSM 45660, BTCC B-673, NBRC 105524",1,"Actinophytocola timorensis",0
,,,,,1
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,"Actinophytocola xanthii",1
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,"Actinoplanes atraurantiacus",0
7798,"UNCC 253","DSM 43031, ATCC 15330, CBS 189.64, IFO 12245, KCC A-0038, NBRC 12245, JCM 3038, BCRC 13631, HAMBI 1975, IFM 1138, IFM 1290, IMET 9034, IMSNU 20021, KCTC 9117, NCIMB 10172, NRRL B-3343, RIA 819, VKM Ac-648, VKM Ac-675",1,"Actinoplanes auranticolor",0
7799,"A/672, MB-T 20","DSM 43805, ATCC 25844, KCC A-0196, JCM 3196, BCRC 13340, IFM 1261, IFO 13938, IMSNU 20022, KCTC 9345, NBRC 13938, NCIMB 12642, NRRL B-16714, VKM Ac-1320",1,"Actinoplanes brasiliensis",0
,,,,,1
7801,"UNCC 65","DSM 43148, ATCC 15348, CBS 190.64, IFO 12511, KCC A-0059, NBRC 12511, JCM 3059, BCRC 12545, CECT 3287, IFM 0124, IFM 1239, IMET 9244, KCTC 9589, MTCC 1981, NCIMB 12889, NRRL B-3344, VKM Ac-1319",1,"Actinoplanes campanulatus",0
7830,LA97,"DSM 43942, ATCC 49799, IFO 14913, NBRC 14913, NCIMB 20027, JCM 7624, BCRC 16343, KCTC 9253, KCTC 9657, NRRL B-16688",1,"Actinoplanes consettensis",0
7841,GW8-1761,"CCUG 53409, DSM 45050, CIP 109316, JCM 15999, NBRC 106145",1,"Actinoplanes couchii",0
7816,,"DSM 46137, IFO 14990, IMET 9243, INA 1569, JCM 9082, NBRC 14990, NCIMB 12736, VKM Ac-1095, BCC 49182, BCRC 16342, KCTC 9590, TBRC 174",1,"Actinoplanes cyaneus",0
7802,"A/10655, MB-T 21","DSM 43806, ATCC 21983, JCM 3247, KCC A-0247, BCRC 12107, CBS 597.74, CGMCC 4.2098, IFO 13994, IMET 9256, IMSNU 20026, KCTC 9532, MTCC 711, NBRC 13994, NCIMB 12643, NRRL B-16715",1,"Actinoplanes deccanensis",0
7831,"LA 107","DSM 43941, ATCC 49798, IFO 14935, NBRC 14935, NCIMB 12875, JCM 7556, IMSNU 20027, IMSNU 22122, KCTC 9254, NRRL B-16692",1,"Actinoplanes derwentensis",0
7832,"LA 139","DSM 43939, ATCC 49800, IFO 14914, NBRC 14914, NCIMB 20041, JCM 7625, IMSNU 22124, KCTC 9346, NRRL B-16689",1,"Actinoplanes durhamensis",0
7804,"MB-T 22, X-14695","DSM 43807, ATCC 29868, KCC A-0277, JCM 3277, BCC 49183, BCRC 13630, IFO 15555, IMET 9273, IMSNU 22125, KCTC 9255, MTCC 1418, NBRC 15555, NCIMB 12644, NRRL B-16718, TBRC 192",1,"Actinoplanes ferrugineus",0
7833,"LA 6","DSM 43938, ATCC 49801, IFO 14915, NBRC 14915, NCIMB 20000, JCM 7555, BCRC 16344, IMSNU 20031, KCTC 9656, NRRL B-16690",1,"Actinoplanes humidus",0
7807,A-5221,"DSM 43146, ATCC 27366, KCC A-0165, JCM 3165, BCRC 12530, CCM 2739, CECT 3285, CGMCC 4.1065, IFM 1254, IFO 13911, IMET 9251, IMSNU 22126, KCTC 9534, MTCC 1412, NBIMCC 1475, NBRC 13911, NCIMB 12641, NRRL B-16722",1,"Actinoplanes italicus",0
